38,Cal State Northridge,Northridge California,1991,2024,34,1015,426,589,.420,-5.80,-1.92,0,3,2,2,0
39,California,Berkeley California,1908,2024,115,2960,1672,1288,.565,6.86,6.19,5,14,0,19,3
40,California Baptist,Riverside California,2019,2024,6,185,101,84,.546,-2.80,-3.68,0,0,0,0,0
41,Campbell,Buies Creek North Carolina,1978,2024,47,1366,581,785,.425,-12.10,-7.02,0,2,1,1,0
42,Canisius,Buffalo New York,1904,2024,120,2713,1361,1352,.502,-3.92,-1.85,1,8,1,4,0
43,Central Arkansas,Conway Arkansas,2011,2024,14,423,127,296,.300,-14.37,-4.60,0,0,0,0,0
44,Central Connecticut State,New Britain Connecticut,1987,2024,38,1108,438,670,.395,-12.82,-7.71,0,4,3,3,0
45,Central Michigan,Mount Pleasant Michigan,1974,2024,51,1473,644,829,.437,-4.41,-0.60,0,8,2,4,0
46,Charleston Southern,Charleston South Carolina,1975,2024,50,1436,579,857,.403,-13.27,-6.96,0,4,4,1,0
47,Charlotte,Charlotte North Carolina,1973,2024,52,1551,850,701,.548,3.17,1.88,2,6,5,11,1
48,Chattanooga,Chattanooga Tennessee,1978,2024,47,1454,879,575,.605,-2.23,-3.54,1,20,12,12,0
49,Chicago State,Chicago Illinois,1985,2024,40,1156,304,852,.263,-15.54,-2.20,0,0,1,0,0
50,Cincinnati,Cincinnati Ohio,1902,2024,123,2990,1910,1080,.639,11.58,5.11,25,25,12,33,6
